created_at,order_number,sku,total_order_price,discount_code
2020-11-17 08:54:13+00:00,9100,LUBMONO1,41,
2020-11-17 08:54:13+00:00,9100,PM056,41,
2020-11-17 08:53:23+00:00,9099,LUBMONO1,52,
2020-11-17 08:53:23+00:00,9099,PM037,52,
2020-11-17 08:53:23+00:00,9099,TP00029,52,
2020-11-17 08:52:03+00:00,9098,TP00081,68,
2020-11-17 08:52:03+00:00,9098,PM056,68,
2020-11-17 08:52:03+00:00,9098,LUBMONO1,68,
2020-11-17 08:52:03+00:00,9098,PM591,68,
2020-11-17 08:51:47+00:00,9096,LUBMONO1,33,
2020-11-17 08:51:47+00:00,9096,TP00264,33,
2020-11-17 08:51:47+00:00,9097,LUBMONO1,28,
2020-11-17 08:51:47+00:00,9097,PM591,28,
2020-11-17 08:51:15+00:00,9095,73PM419,34,
2020-11-17 08:51:15+00:00,9095,LUBMONO1,34,
2020-11-17 08:51:15+00:00,9095,TP00097-1,34,
2020-11-17 08:51:15+00:00,9095,TP00038,34,
2020-11-17 08:50:46+00:00,9094,LUBMONO1,38,
2020-11-17 08:50:46+00:00,9094,PM036,38,
2020-11-17 08:49:53+00:00,9093,LUB50,20,
2020-11-17 08:49:53+00:00,9093,LUBMONO1,20,
2020-11-17 08:49:53+00:00,9093,TP00078,20,
2020-11-17 08:49:03+00:00,9092,LUBMONO1,27,IEMJLI
2020-11-17 08:49:03+00:00,9092,PM037,27,IEMJLI
2020-11-17 08:48:29+00:00,9091,LUBMONO1,65,
2020-11-17 08:48:29+00:00,9091,TP00261,65,
2020-11-17 08:48:29+00:00,9091,PM036,65,
2020-11-17 08:48:05+00:00,9090,LUBMONO1,47,
2020-11-17 08:48:05+00:00,9090,PM520,47,
2020-11-17 08:48:01+00:00,9089,LUBMONO1,14,
2020-11-17 08:48:01+00:00,9089,73PM419,14,
2020-11-17 08:47:50+00:00,9088,REGALITOS1,81,
2020-11-17 08:47:50+00:00,9088,LUBMONO1,81,
2020-11-17 08:47:50+00:00,9088,TP00254-1,81,
2020-11-17 08:47:50+00:00,9088,TP00102,81,
2020-11-17 08:47:50+00:00,9088,730502,81,
2020-11-17 08:47:50+00:00,9088,PM520,81,
2020-11-17 08:47:03+00:00,9087,LUBMONO1,39,
2020-11-17 08:47:03+00:00,9087,PM037,39,
